"GEO_ID","NAME","B02009_001E","B02009_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US00601","ZCTA5 00601","248","160"
"8600000US00602","ZCTA5 00602","5403","1006"
"8600000US00603","ZCTA5 00603","2567","440"
"8600000US00606","ZCTA5 00606","170","136"
"8600000US00610","ZCTA5 00610","3554","840"
"8600000US00612","ZCTA5 00612","3154","703"
"8600000US00616","ZCTA5 00616","676","294"
"8600000US00617","ZCTA5 00617","1026","484"
"8600000US00622","ZCTA5 00622","35","44"
"8600000US00623","ZCTA5 00623","993","408"
"8600000US00624","ZCTA5 00624","1170","392"
"8600000US00627","ZCTA5 00627","700","254"
"8600000US00631","ZCTA5 00631","0","14"
"8600000US00637","ZCTA5 00637","858","333"
"8600000US00638","ZCTA5 00638","396","206"
"8600000US00641","ZCTA5 00641","672","288"
"8600000US00646","ZCTA5 00646","6671","966"
"8600000US00647","ZCTA5 00647","166","131"
"8600000US00650","ZCTA5 00650","263","190"
"8600000US00652","ZCTA5 00652","48","56"
"8600000US00653","ZCTA5 00653","614","210"
"8600000US00656","ZCTA5 00656","577","207"
"8600000US00659","ZCTA5 00659","273","140"
"8600000US00660","ZCTA5 00660","481","188"
"8600000US00662","ZCTA5 00662","2495","563"
"8600000US00664","ZCTA5 00664","689","434"
"8600000US00667","ZCTA5 00667","595","291"
"8600000US00669","ZCTA5 00669","306","185"
"8600000US00670","ZCTA5 00670","140","92"
"8600000US00674","ZCTA5 00674","1847","415"
"8600000US00676","ZCTA5 00676","1614","498"
"8600000US00677","ZCTA5 00677","1742","577"
"8600000US00678","ZCTA5 00678","1331","531"
"8600000US00680","ZCTA5 00680","2037","449"
"8600000US00682","ZCTA5 00682","1893","509"
"8600000US00683","ZCTA5 00683","725","238"
"8600000US00685","ZCTA5 00685","1696","544"
"8600000US00687","ZCTA5 00687","705","332"
"8600000US00688","ZCTA5 00688","297","148"
"8600000US00690","ZCTA5 00690","183","160"
"8600000US00692","ZCTA5 00692","4899","855"
"8600000US00693","ZCTA5 00693","3228","587"
"8600000US00694","ZCTA5 00694","0","14"
"8600000US00698","ZCTA5 00698","1595","441"
"8600000US00703","ZCTA5 00703","8349","881"
"8600000US00704","ZCTA5 00704","2587","653"
"8600000US00705","ZCTA5 00705","2949","580"
"8600000US00707","ZCTA5 00707","8019","579"
"8600000US00714","ZCTA5 00714","3626","727"
"8600000US00715","ZCTA5 00715","1065","419"
"8600000US00716","ZCTA5 00716","3936","624"
"8600000US00717","ZCTA5 00717","2814","572"
"8600000US00718","ZCTA5 00718","1549","466"
"8600000US00719","ZCTA5 00719","3451","784"
"8600000US00720","ZCTA5 00720","1086","429"
"8600000US00723","ZCTA5 00723","12610","778"
"8600000US00725","ZCTA5 00725","9744","1310"
"8600000US00727","ZCTA5 00727","5078","974"
"8600000US00728","ZCTA5 00728","3247","464"
"8600000US00729","ZCTA5 00729","6242","855"
"8600000US00730","ZCTA5 00730","4855","825"
"8600000US00731","ZCTA5 00731","2021","591"
"8600000US00735","ZCTA5 00735","1232","358"
"8600000US00736","ZCTA5 00736","11211","1234"
"8600000US00738","ZCTA5 00738","3789","615"
"8600000US00739","ZCTA5 00739","4224","780"
"8600000US00740","ZCTA5 00740","367","236"
"8600000US00741","ZCTA5 00741","2225","660"
"8600000US00745","ZCTA5 00745","7372","1052"
"8600000US00751","ZCTA5 00751","7201","876"
"8600000US00754","ZCTA5 00754","7611","912"
"8600000US00757","ZCTA5 00757","7798","905"
"8600000US00765","ZCTA5 00765","947","410"
"8600000US00766","ZCTA5 00766","7154","932"
"8600000US00767","ZCTA5 00767","23014","1073"
"8600000US00769","ZCTA5 00769","10008","966"
"8600000US00771","ZCTA5 00771","23487","1456"
"8600000US00772","ZCTA5 00772","9089","680"
"8600000US00773","ZCTA5 00773","2148","470"
"8600000US00775","ZCTA5 00775","128","70"
"8600000US00777","ZCTA5 00777","6949","1231"
"8600000US00778","ZCTA5 00778","6448","1138"
"8600000US00780","ZCTA5 00780","2277","793"
"8600000US00782","ZCTA5 00782","1821","548"
"8600000US00783","ZCTA5 00783","3404","832"
"8600000US00784","ZCTA5 00784","6089","919"
"8600000US00786","ZCTA5 00786","0","14"
"8600000US00791","ZCTA5 00791","9106","1224"
"8600000US00794","ZCTA5 00794","1679","594"
"8600000US00795","ZCTA5 00795","18388","1421"
"8600000US00901","ZCTA5 00901","993","369"
"8600000US00906","ZCTA5 00906","0","14"
"8600000US00907","ZCTA5 00907","1943","404"
"8600000US00909","ZCTA5 00909","811","273"
"8600000US00911","ZCTA5 00911","794","221"
"8600000US00912","ZCTA5 00912","1369","396"
"8600000US00913","ZCTA5 00913","1343","340"
"8600000US00915","ZCTA5 00915","5161","655"
"8600000US00917","ZCTA5 00917","2506","460"
"8600000US00918","ZCTA5 00918","1578","347"
"8600000US00920","ZCTA5 00920","4735","785"
"8600000US00921","ZCTA5 00921","9903","1253"
"8600000US00923","ZCTA5 00923","3729","451"
"8600000US00924","ZCTA5 00924","8883","1030"
"8600000US00925","ZCTA5 00925","1344","406"
"8600000US00926","ZCTA5 00926","10839","1235"
"8600000US00927","ZCTA5 00927","1047","405"
"8600000US00934","ZCTA5 00934","60","63"
"8600000US00936","ZCTA5 00936","19","40"
"8600000US00949","ZCTA5 00949","14045","1262"
"8600000US00950","ZCTA5 00950","0","14"
"8600000US00951","ZCTA5 00951","0","14"
"8600000US00952","ZCTA5 00952","2835","593"
"8600000US00953","ZCTA5 00953","8105","1028"
"8600000US00956","ZCTA5 00956","13040","1426"
"8600000US00957","ZCTA5 00957","10625","1027"
"8600000US00959","ZCTA5 00959","12701","1469"
"8600000US00960","ZCTA5 00960","720","163"
"8600000US00961","ZCTA5 00961","10603","1107"
"8600000US00962","ZCTA5 00962","3395","533"
"8600000US00965","ZCTA5 00965","1141","356"
"8600000US00966","ZCTA5 00966","1502","341"
"8600000US00968","ZCTA5 00968","114","65"
"8600000US00969","ZCTA5 00969","4692","895"
"8600000US00971","ZCTA5 00971","3754","666"
"8600000US00976","ZCTA5 00976","6528","1010"
"8600000US00979","ZCTA5 00979","2697","641"
"8600000US00982","ZCTA5 00982","4105","712"
"8600000US00983","ZCTA5 00983","11074","1188"
"8600000US00985","ZCTA5 00985","10312","1046"
"8600000US00987","ZCTA5 00987","17294","1350"
"8600000US01001","ZCTA5 01001","432","235"
"8600000US01002","ZCTA5 01002","2764","454"
"8600000US01003","ZCTA5 01003","666","159"
"8600000US01005","ZCTA5 01005","126","90"
"8600000US01007","ZCTA5 01007","115","109"
"8600000US01008","ZCTA5 01008","0","12"
"8600000US01009","ZCTA5 01009","0","12"
"8600000US01010","ZCTA5 01010","164","168"
"8600000US01011","ZCTA5 01011","10","9"
"8600000US01012","ZCTA5 01012","0","12"
"8600000US01013","ZCTA5 01013","1331","452"
"8600000US01020","ZCTA5 01020","1262","431"
"8600000US01022","ZCTA5 01022","543","238"
"8600000US01026","ZCTA5 01026","17","29"
"8600000US01027","ZCTA5 01027","414","270"
"8600000US01028","ZCTA5 01028","864","481"
"8600000US01029","ZCTA5 01029","16","27"
"8600000US01030","ZCTA5 01030","186","148"
"8600000US01031","ZCTA5 01031","7","10"
"8600000US01032","ZCTA5 01032","0","12"
"8600000US01033","ZCTA5 01033","28","47"
"8600000US01034","ZCTA5 01034","9","11"
"8600000US01035","ZCTA5 01035","375","275"
"8600000US01036","ZCTA5 01036","12","11"
"8600000US01037","ZCTA5 01037","29","37"
"8600000US01038","ZCTA5 01038","25","20"
"8600000US01039","ZCTA5 01039","21","22"
"8600000US01040","ZCTA5 01040","2524","594"
"8600000US01050","ZCTA5 01050","64","92"
"8600000US01053","ZCTA5 01053","66","61"
"8600000US01054","ZCTA5 01054","15","14"
"8600000US01056","ZCTA5 01056","488","232"
"8600000US01057","ZCTA5 01057","98","76"
"8600000US01060","ZCTA5 01060","562","202"
"8600000US01062","ZCTA5 01062","315","126"
"8600000US01063","ZCTA5 01063","27","31"
"8600000US01066","ZCTA5 01066","0","12"
"8600000US01068","ZCTA5 01068","6","6"
"8600000US01069","ZCTA5 01069","298","216"
"8600000US01070","ZCTA5 01070","18","12"
"8600000US01071","ZCTA5 01071","35","24"
"8600000US01072","ZCTA5 01072","16","19"
"8600000US01073","ZCTA5 01073","14","24"
"8600000US01074","ZCTA5 01074","27","42"
"8600000US01075","ZCTA5 01075","550","202"
"8600000US01077","ZCTA5 01077","4","6"
"8600000US01079","ZCTA5 01079","0","12"
"8600000US01080","ZCTA5 01080","241","202"
"8600000US01081","ZCTA5 01081","14","16"
"8600000US01082","ZCTA5 01082","127","85"
"8600000US01083","ZCTA5 01083","0","12"
"8600000US01084","ZCTA5 01084","0","12"
"8600000US01085","ZCTA5 01085","979","365"
"8600000US01086","ZCTA5 01086","30","33"
"8600000US01088","ZCTA5 01088","0","12"
"8600000US01089","ZCTA5 01089","1197","414"
"8600000US01092","ZCTA5 01092","1","4"
"8600000US01093","ZCTA5 01093","0","12"
"8600000US01094","ZCTA5 01094","0","12"
"8600000US01095","ZCTA5 01095","559","282"
"8600000US01096","ZCTA5 01096","0","12"
"8600000US01097","ZCTA5 01097","0","12"
"8600000US01098","ZCTA5 01098","4","5"
"8600000US01103","ZCTA5 01103","329","149"
"8600000US01104","ZCTA5 01104","3579","628"
"8600000US01105","ZCTA5 01105","2971","571"
"8600000US01106","ZCTA5 01106","116","53"
"8600000US01107","ZCTA5 01107","1706","381"
"8600000US01108","ZCTA5 01108","5679","857"
"8600000US01109","ZCTA5 01109","12687","1048"
"8600000US01118","ZCTA5 01118","3050","531"
"8600000US01119","ZCTA5 01119","3141","621"
"8600000US01128","ZCTA5 01128","506","205"
"8600000US01129","ZCTA5 01129","1361","305"
"8600000US01151","ZCTA5 01151","2490","497"
"8600000US01199","ZCTA5 01199","0","12"
"8600000US01201","ZCTA5 01201","3285","374"
"8600000US01220","ZCTA5 01220","81","82"
"8600000US01222","ZCTA5 01222","0","12"
"8600000US01223","ZCTA5 01223","76","46"
"8600000US01224","ZCTA5 01224","0","12"
"8600000US01225","ZCTA5 01225","26","38"
"8600000US01226","ZCTA5 01226","67","88"
"8600000US01229","ZCTA5 01229","0","12"
"8600000US01230","ZCTA5 01230","345","162"
"8600000US01235","ZCTA5 01235","14","17"
"8600000US01236","ZCTA5 01236","66","105"
"8600000US01237","ZCTA5 01237","65","64"
"8600000US01238","ZCTA5 01238","118","90"
"8600000US01240","ZCTA5 01240","121","65"
"8600000US01242","ZCTA5 01242","0","12"
"8600000US01243","ZCTA5 01243","0","12"
"8600000US01244","ZCTA5 01244","0","12"
"8600000US01245","ZCTA5 01245","4","8"
"8600000US01247","ZCTA5 01247","707","283"
"8600000US01253","ZCTA5 01253","5","9"
"8600000US01254","ZCTA5 01254","16","16"
"8600000US01255","ZCTA5 01255","9","8"
"8600000US01256","ZCTA5 01256","64","47"
"8600000US01257","ZCTA5 01257","0","12"
"8600000US01258","ZCTA5 01258","0","12"
"8600000US01259","ZCTA5 01259","6","9"
"8600000US01260","ZCTA5 01260","0","12"
"8600000US01262","ZCTA5 01262","51","54"
"8600000US01264","ZCTA5 01264","2","2"
"8600000US01266","ZCTA5 01266","56","81"
"8600000US01267","ZCTA5 01267","446","133"
"8600000US01270","ZCTA5 01270","21","34"
"8600000US01301","ZCTA5 01301","644","174"
"8600000US01330","ZCTA5 01330","8","10"
"8600000US01331","ZCTA5 01331","249","159"
"8600000US01337","ZCTA5 01337","3","7"
"8600000US01338","ZCTA5 01338","13","19"
"8600000US01339","ZCTA5 01339","11","17"
"8600000US01340","ZCTA5 01340","18","14"
"8600000US01341","ZCTA5 01341","0","12"
"8600000US01342","ZCTA5 01342","161","156"
"8600000US01343","ZCTA5 01343","0","12"
"8600000US01344","ZCTA5 01344","37","48"
"8600000US01346","ZCTA5 01346","0","12"
"8600000US01347","ZCTA5 01347","0","12"
"8600000US01349","ZCTA5 01349","8","13"
"8600000US01350","ZCTA5 01350","0","12"
"8600000US01351","ZCTA5 01351","27","39"
"8600000US01354","ZCTA5 01354","67","108"
"8600000US01355","ZCTA5 01355","9","13"
"8600000US01360","ZCTA5 01360","11","14"
"8600000US01364","ZCTA5 01364","65","41"
"8600000US01366","ZCTA5 01366","30","41"
"8600000US01367","ZCTA5 01367","10","8"
"8600000US01368","ZCTA5 01368","3","5"
"8600000US01370","ZCTA5 01370","29","27"
"8600000US01373","ZCTA5 01373","12","20"
"8600000US01375","ZCTA5 01375","152","90"
"8600000US01376","ZCTA5 01376","253","130"
"8600000US01378","ZCTA5 01378","0","12"
"8600000US01379","ZCTA5 01379","41","37"
"8600000US01420","ZCTA5 01420","2879","575"
"8600000US01430","ZCTA5 01430","82","73"
"8600000US01431","ZCTA5 01431","57","66"
"8600000US01432","ZCTA5 01432","298","240"
"8600000US01434","ZCTA5 01434","358","143"
"8600000US01436","ZCTA5 01436","37","59"
"8600000US01438","ZCTA5 01438","2","4"
"8600000US01440","ZCTA5 01440","944","308"
"8600000US01450","ZCTA5 01450","170","135"
"8600000US01451","ZCTA5 01451","99","141"
"8600000US01452","ZCTA5 01452","179","244"
"8600000US01453","ZCTA5 01453","3275","652"
"8600000US01460","ZCTA5 01460","184","110"
"8600000US01462","ZCTA5 01462","279","194"
"8600000US01463","ZCTA5 01463","339","297"
"8600000US01464","ZCTA5 01464","687","214"
"8600000US01467","ZCTA5 01467","0","12"
"8600000US01468","ZCTA5 01468","0","12"
"8600000US01469","ZCTA5 01469","72","55"
"8600000US01473","ZCTA5 01473","15","23"
"8600000US01474","ZCTA5 01474","0","12"
"8600000US01475","ZCTA5 01475","232","139"
"8600000US01501","ZCTA5 01501","301","164"
"8600000US01503","ZCTA5 01503","17","17"
"8600000US01504","ZCTA5 01504","225","141"
"8600000US01505","ZCTA5 01505","32","34"
"8600000US01506","ZCTA5 01506","169","169"
"8600000US01507","ZCTA5 01507","144","136"
"8600000US01510","ZCTA5 01510","709","334"
"8600000US01515","ZCTA5 01515","20","22"
"8600000US01516","ZCTA5 01516","189","258"
"8600000US01518","ZCTA5 01518","9","11"
"8600000US01519","ZCTA5 01519","603","465"
"8600000US01520","ZCTA5 01520","299","166"
"8600000US01521","ZCTA5 01521","47","57"
"8600000US01522","ZCTA5 01522","41","65"
"8600000US01523","ZCTA5 01523","477","148"
"8600000US01524","ZCTA5 01524","203","174"
"8600000US01525","ZCTA5 01525","0","12"
"8600000US01527","ZCTA5 01527","276","199"
"8600000US01529","ZCTA5 01529","44","40"
"8600000US01531","ZCTA5 01531","3","4"
"8600000US01532","ZCTA5 01532","376","331"
