"GEO_ID","NAME","B02008_001E","B02008_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US00601","ZCTA5 00601","13116","709"
"8600000US00602","ZCTA5 00602","35720","592"
"8600000US00603","ZCTA5 00603","38300","1092"
"8600000US00606","ZCTA5 00606","2752","493"
"8600000US00610","ZCTA5 00610","23408","651"
"8600000US00612","ZCTA5 00612","49441","1592"
"8600000US00616","ZCTA5 00616","9451","1140"
"8600000US00617","ZCTA5 00617","20861","909"
"8600000US00622","ZCTA5 00622","1911","488"
"8600000US00623","ZCTA5 00623","11948","1434"
"8600000US00624","ZCTA5 00624","16658","915"
"8600000US00627","ZCTA5 00627","26437","974"
"8600000US00631","ZCTA5 00631","1082","299"
"8600000US00637","ZCTA5 00637","16385","937"
"8600000US00638","ZCTA5 00638","16355","456"
"8600000US00641","ZCTA5 00641","17389","1065"
"8600000US00646","ZCTA5 00646","31663","990"
"8600000US00647","ZCTA5 00647","3658","580"
"8600000US00650","ZCTA5 00650","12753","759"
"8600000US00652","ZCTA5 00652","3144","503"
"8600000US00653","ZCTA5 00653","6968","681"
"8600000US00656","ZCTA5 00656","14816","633"
"8600000US00659","ZCTA5 00659","39660","401"
"8600000US00660","ZCTA5 00660","5112","716"
"8600000US00662","ZCTA5 00662","27575","979"
"8600000US00664","ZCTA5 00664","10612","928"
"8600000US00667","ZCTA5 00667","7553","923"
"8600000US00669","ZCTA5 00669","18486","868"
"8600000US00670","ZCTA5 00670","4373","550"
"8600000US00674","ZCTA5 00674","33923","763"
"8600000US00676","ZCTA5 00676","29849","1200"
"8600000US00677","ZCTA5 00677","13427","368"
"8600000US00678","ZCTA5 00678","21728","873"
"8600000US00680","ZCTA5 00680","13364","1125"
"8600000US00682","ZCTA5 00682","10531","1180"
"8600000US00683","ZCTA5 00683","18012","1119"
"8600000US00685","ZCTA5 00685","27423","1168"
"8600000US00687","ZCTA5 00687","29390","545"
"8600000US00688","ZCTA5 00688","10312","820"
"8600000US00690","ZCTA5 00690","4478","720"
"8600000US00692","ZCTA5 00692","27768","1065"
"8600000US00693","ZCTA5 00693","47086","1159"
"8600000US00694","ZCTA5 00694","69","78"
"8600000US00698","ZCTA5 00698","28570","979"
"8600000US00703","ZCTA5 00703","22915","789"
"8600000US00704","ZCTA5 00704","4903","811"
"8600000US00705","ZCTA5 00705","17718","753"
"8600000US00707","ZCTA5 00707","2846","579"
"8600000US00714","ZCTA5 00714","11110","1014"
"8600000US00715","ZCTA5 00715","2241","569"
"8600000US00716","ZCTA5 00716","24823","1504"
"8600000US00717","ZCTA5 00717","14391","1141"
"8600000US00718","ZCTA5 00718","17512","1530"
"8600000US00719","ZCTA5 00719","26204","931"
"8600000US00720","ZCTA5 00720","18135","580"
"8600000US00723","ZCTA5 00723","4402","760"
"8600000US00725","ZCTA5 00725","62825","2171"
"8600000US00727","ZCTA5 00727","44452","1983"
"8600000US00728","ZCTA5 00728","32091","1631"
"8600000US00729","ZCTA5 00729","25971","1377"
"8600000US00730","ZCTA5 00730","28259","1315"
"8600000US00731","ZCTA5 00731","11457","1215"
"8600000US00735","ZCTA5 00735","8189","746"
"8600000US00736","ZCTA5 00736","41436","1178"
"8600000US00738","ZCTA5 00738","18135","978"
"8600000US00739","ZCTA5 00739","31336","1009"
"8600000US00740","ZCTA5 00740","727","228"
"8600000US00741","ZCTA5 00741","1869","514"
"8600000US00745","ZCTA5 00745","28341","1287"
"8600000US00751","ZCTA5 00751","12035","1017"
"8600000US00754","ZCTA5 00754","30650","943"
"8600000US00757","ZCTA5 00757","12500","837"
"8600000US00765","ZCTA5 00765","5268","750"
"8600000US00766","ZCTA5 00766","19018","690"
"8600000US00767","ZCTA5 00767","10812","1038"
"8600000US00769","ZCTA5 00769","26185","904"
"8600000US00771","ZCTA5 00771","13335","1408"
"8600000US00772","ZCTA5 00772","3014","455"
"8600000US00773","ZCTA5 00773","11326","729"
"8600000US00775","ZCTA5 00775","710","165"
"8600000US00777","ZCTA5 00777","20838","1395"
"8600000US00778","ZCTA5 00778","31970","1674"
"8600000US00780","ZCTA5 00780","10180","1302"
"8600000US00782","ZCTA5 00782","15146","682"
"8600000US00783","ZCTA5 00783","27683","1156"
"8600000US00784","ZCTA5 00784","29996","1300"
"8600000US00786","ZCTA5 00786","348","236"
"8600000US00791","ZCTA5 00791","27593","1590"
"8600000US00794","ZCTA5 00794","25966","765"
"8600000US00795","ZCTA5 00795","34988","967"
"8600000US00901","ZCTA5 00901","5195","640"
"8600000US00906","ZCTA5 00906","177","96"
"8600000US00907","ZCTA5 00907","12276","919"
"8600000US00909","ZCTA5 00909","2937","443"
"8600000US00911","ZCTA5 00911","4982","633"
"8600000US00912","ZCTA5 00912","2797","439"
"8600000US00913","ZCTA5 00913","4250","675"
