"GEO_ID","NAME","B02011_001E","B02011_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US01008","ZCTA5 01008","0","12"
"8600000US01009","ZCTA5 01009","0","12"
"8600000US01010","ZCTA5 01010","17","21"
"8600000US01011","ZCTA5 01011","2","3"
"8600000US01012","ZCTA5 01012","0","12"
"8600000US01013","ZCTA5 01013","584","356"
"8600000US01020","ZCTA5 01020","836","332"
"8600000US01022","ZCTA5 01022","108","150"
"8600000US01026","ZCTA5 01026","15","15"
"8600000US01027","ZCTA5 01027","632","307"
"8600000US01028","ZCTA5 01028","791","409"
"8600000US01029","ZCTA5 01029","3","4"
"8600000US01030","ZCTA5 01030","230","119"
"8600000US01031","ZCTA5 01031","18","17"
"8600000US01032","ZCTA5 01032","0","12"
"8600000US01033","ZCTA5 01033","50","56"
"8600000US01034","ZCTA5 01034","22","19"
"8600000US01035","ZCTA5 01035","77","58"
"8600000US01036","ZCTA5 01036","48","42"
"8600000US01037","ZCTA5 01037","3","6"
"8600000US01038","ZCTA5 01038","38","35"
"8600000US01039","ZCTA5 01039","0","12"
"8600000US01040","ZCTA5 01040","669","240"
"8600000US01050","ZCTA5 01050","0","12"
"8600000US01053","ZCTA5 01053","17","20"
"8600000US01054","ZCTA5 01054","63","35"
"8600000US01056","ZCTA5 01056","385","229"
"8600000US01057","ZCTA5 01057","95","102"
"8600000US01060","ZCTA5 01060","979","217"
"8600000US01062","ZCTA5 01062","681","312"
"8600000US01063","ZCTA5 01063","136","57"
"8600000US01066","ZCTA5 01066","0","12"
"8600000US01068","ZCTA5 01068","11","14"
"8600000US01069","ZCTA5 01069","269","223"
"8600000US01070","ZCTA5 01070","14","14"
"8600000US01071","ZCTA5 01071","0","12"
"8600000US01072","ZCTA5 01072","37","39"
"8600000US01073","ZCTA5 01073","176","157"
"8600000US01074","ZCTA5 01074","0","12"
"8600000US01075","ZCTA5 01075","1036","249"
"8600000US01077","ZCTA5 01077","143","111"
"8600000US01079","ZCTA5 01079","0","12"
"8600000US01080","ZCTA5 01080","0","12"
"8600000US01081","ZCTA5 01081","0","12"
"8600000US01082","ZCTA5 01082","263","191"
"8600000US01083","ZCTA5 01083","147","179"
"8600000US01084","ZCTA5 01084","0","12"
