GEO_ID,NAME,Population,Ratio_women_to_men,Percent_hispanic_or_latino,Percent_white,Percent_black,Percent_asian,median_household_income,Ratio_female_labor_16_yrs_and_older,Percent_bachelor_degree_or_higher,Average_household_size
8600000US11222,ZCTA5 11222,36492,1.0273333333333334,0.1424147758412803,0.8565164967664145,0.05434067740874712,0.07122108955387482,85111,0.4757885384273656,0.4858051079688699,2.10
8600000US11233,ZCTA5 11233,76819,1.1888249373147937,0.1598042151030344,0.10106874601335607,0.8038245746495007,0.02310626277353259,40449,0.5523206987290745,0.16285033650529165,2.57
8600000US11235,ZCTA5 11235,78128,1.0871981192562514,0.08308160966618881,0.775739811591235,0.029477268072906,0.16572803604341593,52538,0.47582925862296815,0.3635444398935081,2.38
8600000US11426,ZCTA5 11426,20801,1.0024066230265691,0.18931782125859334,0.4033940675929042,0.07562136435748282,0.464112302293159,88803,0.4479299653474375,0.26445843949810105,3.26
8600000US11427,ZCTA5 11427,24037,1.0222951371361266,0.19453342763240006,0.31064608728210674,0.22090943129342264,0.35798976577775926,74581,0.4602061507265968,0.23176769147564172,3.08
8600000US11101,ZCTA5 11101,30043,0.9639798653330719,0.263222714109776,0.47378757114802117,0.17957594115101688,0.253636454415338,65392,0.47189807768194375,0.35372632559997336,2.24
8600000US11205,ZCTA5 11205,46064,1.1585754451733834,0.1769928794720389,0.5182137895102467,0.34052622438346647,0.0827327196943383,56708,0.5177165354330708,0.26921240013893716,2.67
8600000US11215,ZCTA5 11215,70156,1.0881626335684733,0.16289412167170306,0.8144563544101716,0.06773476252922059,0.11108101944238553,123583,0.5028318091082122,0.561163692342779,2.43
8600000US11219,ZCTA5 11219,90036,1.0014226648290578,0.12120707272646497,0.6793615886978542,0.013838908880892087,0.2478786263272469,39295,0.4455159112825458,0.10465813674530187,3.64
8600000US11226,ZCTA5 11226,100277,1.2223034815947522,0.17097639538478415,0.1722827767085174,0.6951045603677812,0.03997925745684454,52052,0.5460413897854566,0.19420206029298842,2.71
8600000US11228,ZCTA5 11228,44994,1.0429531420268798,0.12975063341778903,0.5751655776325733,0.015379828421567321,0.36415966573320885,67911,0.46895424836601307,0.24020980575187803,2.93
8600000US11236,ZCTA5 11236,100331,1.2931751691351252,0.07142358792397166,0.06505466904545953,0.8737279604509075,0.034625389959234934,67669,0.5650475347369232,0.18814723265989575,2.97
8600000US11237,ZCTA5 11237,49310,0.9427153100622488,0.6297302778341107,0.4416345568850132,0.1511052524842831,0.08545933887649564,51413,0.43160911406736485,0.20050699655242343,2.86
8600000US11354,ZCTA5 11354,55200,1.2050892821475652,0.1594746376811594,0.22465579710144928,0.03865942028985507,0.64375,42500,0.4896944391725185,0.15996376811594204,2.65
8600000US11356,ZCTA5 11356,23362,1.0098072952512045,0.4030904888280113,0.39470079616471193,0.02123105898467597,0.31572639328824587,60493,0.45786342243140044,0.1323944867733927,3.13
8600000US11360,ZCTA5 11360,19621,1.1625702634189352,0.09775240813414199,0.6354925844758167,0.015952296009377708,0.33418276336578157,86174,0.4726787620064034,0.41990724224045667,2.28
8600000US11362,ZCTA5 11362,18721,1.1307762349191897,0.08861706105443086,0.5242241333262112,0.021633459751081673,0.4373697986218685,89185,0.5028596093665696,0.33694781261684736,2.58
8600000US11366,ZCTA5 11366,14650,1.0997563422674501,0.08860068259385666,0.4543344709897611,0.05658703071672355,0.4769283276450512,78990,0.4730637422892392,0.3079180887372014,3.12
8600000US11370,ZCTA5 11370,32514,0.6860609831985065,0.37377744971396937,0.438549547887064,0.15574829304299687,0.2326690041213016,65098,0.44131238447319776,0.16039244633081134,3.17
8600000US11371,ZCTA5 11371,0,None,None,None,None,None,None,None,None,None
8600000US11374,ZCTA5 11374,42653,1.1778401838141435,0.1628724825920803,0.5716362272290343,0.054978547816097345,0.3440320727733102,63161,0.49165624595748353,0.39980775092021664,2.19
8600000US11379,ZCTA5 11379,37851,1.1162361623616237,0.20134210456791102,0.8080631951599694,0.019286148318406384,0.12129137935589548,82819,0.4880370724827482,0.2462814720879237,2.78
8600000US11419,ZCTA5 11419,49618,0.9860705279590122,0.18860091095973236,0.11249949615059052,0.1907573864323431,0.35273489459470353,70882,0.446816535908268,0.13650288201862226,3.97
8600000US11422,ZCTA5 11422,32082,1.1560483870967742,0.09569228851069135,0.06470918271928185,0.8675269621594663,0.028146624275294557,89235,0.531747825104508,0.19278723271616482,3.32
8600000US11428,ZCTA5 11428,18929,1.0557124239791487,0.25331501928258227,0.2595488404036135,0.2519942944688045,0.32547942310740136,73699,0.45656173344235484,0.1358761688414602,3.40
8600000US11433,ZCTA5 11433,36489,1.1819649584404712,0.18890624571788758,0.04924771849050399,0.66469346926471,0.09397352626819042,51521,0.5001095050372317,0.1060045493162323,3.46
8600000US11004,ZCTA5 11004,15234,1.1324188129899215,0.12577130103715373,0.4508993041880005,0.07863988446895102,0.4631744781410004,92657,0.4500582977069569,0.3203360903242746,2.77
8600000US11005,ZCTA5 11005,1749,1.8956953642384107,0.01429388221841052,1.0,0.0,0.013150371640937679,62993,0.5,0.4528301886792453,1.38
